Data,Precipitacao,TempMinima,TempMaxima
03/12/2018,1.0,16.5,22.7
04/01/2000,60.8,18.0,22.7
04/01/2001,0.0,19.6,30.5
04/01/2002,0.7,19.1,28.5
04/01/2003,43.6,20.6,28.1
04/01/2004,0.0,16.5,25.7
04/01/2005,27.8,19.3,24.5
04/01/2006,91.0,18.7,24.2
04/01/2007,16.8,20.3,25.3
04/01/2008,8.6,20.1,31.2
04/01/2009,4.0,16.2,22.3
04/01/2010,0.0,20.1,33.0
04/01/2011,30.4,20.1,26.2
04/01/2012,0.0,17.1,30.7
04/01/2013,3.2,18.7,26.9
04/01/2014,0.0,21.1,30.7
04/01/2015,1.2,21.5,28.6
04/01/2016,0.3,18.0,26.4
04/01/2017,5.0,18.8,30.3
